question,document
How does tracking tokens help with LLM costs in scheduled or looping workflows?,a4adc70f41
What’s the point of logging token counts for each AI task in Kestra?,a4adc70f41
How can token usage help me tune prompts and avoid waste?,a4adc70f41
Can token monitoring in Kestra stop a flow from running up a huge bill?,a4adc70f41
Why does Docker Desktop say mounts denied for /tmp/... when I try to start Kestra?,dd8b4c9fda
How can I allow Docker to use the /tmp path that Kestra needs to mount?,dd8b4c9fda
What setting in Docker Desktop do I need to change to fix the shared path error?,dd8b4c9fda
Do I need to add /tmp or /tmp/kestra-wd somewhere in Docker Desktop before running docker compose up -d?,dd8b4c9fda
"After changing Docker Desktop file sharing, what should I do to get Kestra running again?",dd8b4c9fda
"For the Module 3 Kestra homework, what exactly should I upload to the public repo if I only built the flows in the UI?",f29f622684
"Do I need to submit the whole Kestra project, or is exporting the flow YAML files enough for the homework?",f29f622684
"Should I also include any scripts or helper files that the Kestra flows use, or just the flow definitions?",f29f622684
"Is a README required in the repo for the Module 3 submission, or can I leave it out?",f29f622684
"Where do the written answers for Q1, Q2, etc. go — in the repo, or directly in the homework form?",f29f622684
Why am I getting JSONDecodeError: Expecting value when I try to parse the LLM output for ground-truth questions?,a3c7e1b4f9
How do I make the model return plain JSON instead of wrapping it in a code block or extra text?,a3c7e1b4f9
What should I change in the OpenAI chat completions call so `json.loads(...)` works reliably?,a3c7e1b4f9
"Do I need to tell the model the exact JSON structure for the questions list, or is the API setting enough?",a3c7e1b4f9
Is there a provider-specific way to force JSON output in other APIs like Gemini or Groq?,a3c7e1b4f9
Why does my Jupyter notebook crash when I try to embed the ground-truth data?,b8f2d6a30c
What can I do if the evaluation notebook runs out of memory on a small RAM machine?,b8f2d6a30c
Is there a lighter embedding model I can use instead of the default one?,b8f2d6a30c
Should I put the embedding code in a separate script if the notebook keeps crashing?,b8f2d6a30c
How can I handle the ground-truth embeddings in batches so the kernel doesn't die?,b8f2d6a30c
Why does adding `time.sleep(4)` still not stop me from getting rate-limit errors when I generate the ground-truth data?,c1e9f4b820
What should I do if the free Gemini quota gets exhausted partway through a long `tqdm` run?,c1e9f4b820
"Is it better to switch to OpenAI or Groq for making the ground-truth set, and which model should I use?",c1e9f4b820
How can I reduce the chance of hitting rate limits when I’m using a thread pool for API calls?,c1e9f4b820
What’s the safest way to save progress so I can continue after a rate-limit error without starting over?,c1e9f4b820
How do I fix the WinError 126 fbgemm.dll error on Windows when importing torch?,15e931476c
What should I install if Python says it can’t load torch\lib\fbgemm.dll or one of its dependencies?,15e931476c
Is Visual C++ Redistributable enough for the fbgemm.dll missing module error on Windows?,15e931476c
Do I need Visual Studio or Visual Studio Code to solve the torch fbgemm.dll issue?,15e931476c
"Why do I get an OSError about fbgemm.dll not being found in PyTorch on Windows, and how can I resolve it?",15e931476c
"Why am I getting `could not translate host name ""postgres"" to address` when I run `python prep.py`?",4b65d5542d
How do I fix the psycopg2 OperationalError about the `postgres` host not being found?,4b65d5542d
My `.env` file has `POSTGRES_HOST=postgres` and the script fails — what should it be instead?,4b65d5542d
What should I change in the database config if `python prep.py` can't connect because of host name issues?,4b65d5542d
Is `POSTGRES_HOST` supposed to be `postgres` or `localhost` for running `prep.py` on my machine?,4b65d5542d
How can I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
"In the offline-rag-evaluation notebook, what setting do I need to see the whole Explanation column from the judge LLM?",641aedbbf5
"Why does my Pandas output show `...` in long text columns, and how do I disable that?",641aedbbf5
What’s the Pandas option for displaying full column contents when text is longer than the default limit?,641aedbbf5
How do I change Pandas so the entire explanation from the LLM judge is visible in the table?,641aedbbf5
How can I normalize a vector stored in a Pandas DataFrame column?,5039707c1a
What's the easiest way to normalize each item in a Pandas Series with NumPy?,5039707c1a
"Can I use apply() to normalize vectors in a DataFrame column, and how would that look?",5039707c1a
How do I create a new column with normalized versions of vectors from an existing column?,5039707c1a
Is there a simple lambda function for normalizing vectors inside a Pandas column?,5039707c1a
How do I get the 75th percentile from a pandas DataFrame column?,b4c8ac5a0c
What’s the pandas way to calculate a 0.75 quantile for a Series?,b4c8ac5a0c
How can I find a column’s percentile value in pandas with quantile()?,b4c8ac5a0c
"Is there a simple example of using df[""col""].quantile(q=0.75)?",b4c8ac5a0c
How do I compute a percentile from a pandas column without using numpy?,b4c8ac5a0c
"How do I wipe out every Docker container, including the ones still running, from the terminal?",66ccbb7da0
What’s the command to force-remove all Docker images on my machine?,66ccbb7da0
How can I delete all Docker volumes using a single terminal command?,66ccbb7da0
"Is there a quick way to clean up all containers, images, and volumes in Docker at once?",66ccbb7da0
"What terminal commands should I run to fully clear Docker stuff like containers, images, and volumes?",66ccbb7da0
How can I make sure a user can only leave feedback once per submitted prompt in Streamlit?,2e729f1271
Why does `st.session.submitted` keep getting set back to True after I click a feedback button?,2e729f1271
How do I disable the feedback buttons after the ask button is used in Streamlit session state?,2e729f1271
Is there a fix for Streamlit session attributes being reassigned when feedback is submitted?,2e729f1271
Where can I find the solution for the issue where `st.session.submitted` changes unexpectedly?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when I run my app with docker-compose, even though it works locally?",e8df9f0d12
What do I need to add so a Streamlit app can start correctly inside docker-compose?,e8df9f0d12
Do I have to create a Dockerfile before running a Streamlit app with docker-compose?,e8df9f0d12
"After changing my docker-compose setup for Streamlit, how should I rebuild and start the containers again?",e8df9f0d12
My Streamlit app runs outside Docker but fails in docker-compose with an OCI runtime error — what's the fix?,e8df9f0d12
"Can I do the capstone with a partner, or does each person need their own project?",0fab61eca2
"If I talk through the idea with other students, is that allowed for the capstone?",0fab61eca2
Could a shared system count if we split it into separate parts for each person?,0fab61eca2
Do we need to submit separate repos for each student in a combined project setup?,0fab61eca2
What happens if the project can't be checked independently for each participant?,0fab61eca2
"Do we have to submit two capstone projects, or is one enough?",d5fc98925d
What exactly do attempt 1 and attempt 2 mean for the project submission?,d5fc98925d
"If my first submission gets rejected, can I fix it and send it again later?",d5fc98925d
I missed the first submission window — can I still submit in the second one?,d5fc98925d
"If I decide to submit two projects, do they need to be on different data and tasks?",d5fc98925d
"Can I use the competition as my capstone project, or are they separate?",e892d44e42
"If I join the math-kaggle-llm competition, does that replace the individual capstone?",e892d44e42
"Is the capstone supposed to be done solo, even if I team up for the competition?",e892d44e42
Can I participate in the competition with a group and still do a separate capstone?,e892d44e42
Does entering the competition count toward the capstone requirement?,e892d44e42
How will the capstone project be graded in this course?,9a2e2d2008
Who reviews a capstone submission after I turn it in?,9a2e2d2008
"Do I also have to grade other students' projects, and what happens if I don't?",9a2e2d2008
How is the final score for the capstone calculated from the peer reviews?,9a2e2d2008
What grading rules or criteria should the reviewers use for the capstone project?,9a2e2d2008
When do we get the projects to review and grade after submission closes?,eae0fb50aa
How are the capstone projects assigned to each participant for grading?,eae0fb50aa
"Will the review assignments be shared right after the deadline, and in what format?",eae0fb50aa
"Do we get one project or multiple projects to evaluate in the capstone, and how many?",eae0fb50aa
"After the submission deadline, how will I know which projects I need to grade?",eae0fb50aa
"I already turned in my capstone project, so why am I not able to review anyone else's project yet?",a8a7fef016
"After submitting my project, when do I actually get assigned projects to evaluate?",a8a7fef016
"Can I pick which capstone projects I want to review, or is it assigned for me?",a8a7fef016
Why is the review page empty even though I completed my submission?,a8a7fef016
Do I have to wait until the submission deadline ends before I can start evaluating projects?,a8a7fef016
Where can I look for project ideas and dataset suggestions for the capstone?,e76a70cde3
Is there a GitHub page with datasets and ideas I can use for this project?,e76a70cde3
I need some inspiration for the capstone project — where should I start looking?,e76a70cde3
Are there any tips and guidelines for choosing a dataset for the project?,e76a70cde3
Can you point me to a page that has project ideas plus some useful datasets?,e76a70cde3
"Do I need Airflow, Mage, or Kestra for the capstone project ingestion part, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion pipeline in a notebook instead of a script, do I still get full points?",d4f7c08ea1
Should I use an orchestration tool in the capstone only if the data needs to be updated regularly?,d4f7c08ea1
"Will adding an orchestrator help me score better, or is it unnecessary unless it really matches the project?",d4f7c08ea1
"For the capstone ingestion pipeline criterion, what counts as enough: Python script, notebook, or orchestration tool?",d4f7c08ea1
How can I evaluate a recommender-style RAG if I don’t have clear ground-truth answers?,9b0e2d6a47
What’s a good way to create synthetic test queries for retriever evaluation in this project?,9b0e2d6a47
How do I measure ranking quality for RAG recommendations when several items could be acceptable?,9b0e2d6a47
"Can I use an LLM as a judge to score the end-to-end RAG output, and how would that work?",9b0e2d6a47
"For recommendation-style retrieval, is NDCG better than hit rate, and why?",9b0e2d6a47
How should I chunk a big PDF corpus for a RAG project without overthinking the chunker first?,6f2a8b3d10
"Is it okay to begin with simple fixed-size chunks, and what size/overlap would you recommend?",6f2a8b3d10
Would it help to ask an LLM to split documents into sections before indexing them?,6f2a8b3d10
"Should I store a short summary with each chunk, or is that overkill for retrieval?",6f2a8b3d10
"For long legal or financial docs, is hybrid search a better choice than dense embeddings alone?",6f2a8b3d10
"What does reproducibility mean for the capstone project, and do reviewers need my API keys?",e5d8a2c761
How should I set up the repo so someone can clone it and rebuild everything from scratch?,e5d8a2c761
Do I need to include a script or notebook that ingests the data and creates the search index again?,e5d8a2c761
"What should go in .env.example, and should the real .env file be committed?",e5d8a2c761
"Which model should I use so reviewers don't waste credits when testing the project, and how do I pin the setup versions?",e5d8a2c761
"Do I have to use Python for the assignments and the capstone project, or can I pick something like JavaScript, Go, or Rust instead?",ea815eb858
Is it okay to submit homework or the final project in a language other than Python if I have a good reason?,ea815eb858
"If I build the project with a non-Python stack, what kind of setup instructions should I include so the reviewer can run it?",ea815eb858
"Will using Java, TypeScript, Scala, C#, or R make review harder, and is that why Python is recommended?",ea815eb858
"For a non-Python submission, do I need to explain how to install and run it on Windows, macOS, and Linux in the README?",ea815eb858
Where can I see examples of past LLM Zoomcamp capstone projects?,930286278d
Is there a page with submitted projects from earlier LLM Zoomcamp cohorts?,930286278d
Can I look at previous capstone project repositories for LLM Zoomcamp?,930286278d
Do you have links to LLM Zoomcamp project submissions from 2024 and 2025?,930286278d
I want to check the expected scope for the capstone — where are the old project examples?,930286278d
Do I need to reserve my capstone idea before I start working on it?,897a350476
"Should I announce my project topic somewhere first, or can I just begin?",897a350476
"If someone else already did a similar project, is it still okay for me to choose the same general idea?",897a350476
Where can I ask for feedback on my project idea before I start coding?,897a350476
Is it allowed to use a topic that looks similar to past LLM Zoomcamp projects as long as my implementation is different?,897a350476
Can I build my capstone as a Telegram bot or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use a CLI or Slack app too?",7318a90b14
Do you allow notebooks or other non-web interfaces for the capstone submission?,7318a90b14
"Are there any rules about how the project is exposed to the user, or can I choose any interface I want?",7318a90b14
"Will the course show how to build the interface itself, or do I need to handle that part on my own?",7318a90b14
"What’s the best tool to pull text out of PDFs for a RAG project, or is there no single recommended one?",d8b28c47a0
"If my PDFs are scanned images and don’t have selectable text, what can I use to OCR them for RAG?",d8b28c47a0
"Should I use docling, PyMuPDF, or unstructured to turn documents into clean text or Markdown?",d8b28c47a0
Are there any hosted OCR APIs I can call instead of running Tesseract locally?,d8b28c47a0
How do I decide which PDF extraction tool gives the cleanest output for my documents?,d8b28c47a0
"Can I use the workshop content in my own capstone project, or is it only for this class?",d850a0e7ea
Is it okay to reuse the dlt workshop materials for other projects outside this workshop?,d850a0e7ea
"Can I apply dlt to another Zoomcamp project, like the MLOps one?",d850a0e7ea
"Since dlt is open source, am I allowed to use it directly in my own work?",d850a0e7ea
Are we encouraged to ask questions and use the workshop stuff in real projects?,d850a0e7ea
How do I create a new dlt project for loading files from the cloud?,6bceeebf04
What command should I run to initialize a filesystem source with duckdb in dlt?,6bceeebf04
I'm getting started with dlt and cloud data load — what's the setup command?,6bceeebf04
How can I bootstrap a dlt pipeline for filesystem to duckdb?,6bceeebf04
Is there a quick way to init a dlt project for cloud file ingestion?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I call `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name to `notion_pages___homework`, but it still says the table doesn't exist — what am I missing in the pipeline settings?",0407213397
How can I fix the `FileNotFoundError` for `notion_pages___homework` in the dlt workshop?,0407213397
"If `db.open_table(""notion_pages___homework"")` fails, does it mean I forgot to rename something from `employee_handbook` to `homework`?",0407213397
What should I check in my config if the homework table is not found after renaming the table to `notion_pages___homework`?,0407213397
I’m getting FileNotFoundError: Table notion_pages___homework does not exist when I run main() — what should I change in line 3?,e95bfafc0e
"Why does db.open_table fail for notion_pages___homework, and what’s the correct table name to use?",e95bfafc0e
"My script says first call db.create_table(notion_pages___homework, data). Do I need to create the table manually, or am I opening the wrong one?",e95bfafc0e
"In the dlt homework, which table should I open for the Notion pages data so I don’t get the missing table error?",e95bfafc0e
I copied the example but main() crashes on the table step. What should the dbtable = ... line look like?,e95bfafc0e
How can I check what tables exist in the database?,e394e6f738
Is there a way to list all DB tables with dlt?,e394e6f738
What method shows the names of tables in the database?,e394e6f738
How do I see every table that was created in the db?,e394e6f738
Can I get a list of table names from the database somehow?,e394e6f738
Does dlt already support ClickHouse or StarRocks as connectors?,cd19f122f3
Are there any built-in connectors for ClickHouse and StarRocks in dlt?,cd19f122f3
"If dlt doesn’t connect to ClickHouse or StarRocks, can the community add them?",cd19f122f3
"Is support for ClickHouse or StarRocks planned in dlt, or is it only community-driven right now?",cd19f122f3
What’s the status of ClickHouse and StarRocks connectors in dlt?,cd19f122f3
Why am I getting a 401 Unauthorized when the notebook calls the Notion search API?,0dfba07ace
What should I check if my notebook says it doesn’t have secret access to Notion?,0dfba07ace
Could this error mean my Notion token or API key is wrong or expired?,0dfba07ace
How do I fix auth problems with the Notion API in the dlt workshop notebook?,0dfba07ace
What endpoint and permissions should I verify when Notion returns an authorization error?,0dfba07ace
How do I install the newer requests version from the GitHub tag instead of getting v2.28 from pip?,4b30b918bc
"Why does my setup keep pulling requests 2.28 when lancedb needs 2.32.3, and how can I force the right one?",4b30b918bc
Is there a pip command to install requests straight from the source so I get v2.32.3?,4b30b918bc
I'm getting a 401 Client Error during install — could this be a bad key or missing access?,4b30b918bc
What command should I run to install requests 2.32.3 from the official repo zip?,4b30b918bc
